OTUname,phylum,class,order,family,genus,species,A,B,C,clFDR
OTU_77,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,gordonii,0,1.95996398454005,0,0.08745348663202696
OTU_319,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.08817937325702213
OTU_14,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.09750281543365616
OTU_903,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.09763679963996821
OTU_278,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.1052971583566768
OTU_1441,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.10529715835667681
OTU_607,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.10529715835667681
OTU_1263,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.1078226921428102
OTU_620,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae,-2.96773792534179,0,0,0.11693020894851107
OTU_472,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.11911309721228111
OTU_635,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.11986488837904977
OTU_648,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,unclassified Parabacteroides,0,1.95996398454005,0,0.12110410264818593
OTU_708,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae,-2.96773792534179,0,0,0.12153412880216405
OTU_107,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,0,0,-1.95996398454005,0.12482813789538594
OTU_1043,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.12835556793446848
OTU_716,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,intestinihominis,-2.96773792534179,0,0,0.12860915289109667
OTU_61,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae,-2.96773792534179,0,0,0.1298500329882758
OTU_1290,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae,-2.96773792534179,0,0,0.1324042274504865
OTU_602,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.13290537179522263
OTU_1301,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,0,1.95996398454005,0,0.13301113860581892
OTU_1279,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.13317070331460099
OTU_750,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,fimetarium,-2.70950030675198,0,0,0.13319505255387826
OTU_1439,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,difficile,-2.70950030675198,0,0,0.13319505255387826
OTU_357,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,colinum,-2.70950030675198,0,0,0.13335688408736263
OTU_420,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.1334476249530808
OTU_176,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum,-2.70950030675198,0,0,0.13349761498998183
OTU_1147,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,gordonii,0,1.95996398454005,0,0.13373920383270835
OTU_516,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.13396215663378025
OTU_125,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,unclassified Megasphaera,0,0,-1.95996398454005,0.13438106524625168
OTU_583,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.1359074210732965
OTU_1037,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,unclassified Megasphaera,0,0,-1.95996398454005,0.13679318471514954
OTU_1153,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.13703608110408233
OTU_1225,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.13703608110408233
OTU_148,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,symbiosum,-2.70950030675198,0,0,0.13703608110408233
OTU_404,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium,-2.70950030675198,0,0,0.13703608110408233
OTU_1243,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum,-2.70950030675198,0,0,0.13703608110408233
OTU_912,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,1.95996398454005,1.95996398454005,0,0.14118434070699584
OTU_464,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,methylpentosum,-2.70950030675198,0,0,0.14132966368705097
OTU_718,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,finegoldii,0,0,0,0.14624401690833477
OTU_675,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.14625379303878783
OTU_512,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,unclassified Peptococcaceae,anaerobic bacterium EtOH8,0,0,0,0.14625590875855807
